Site ID,Colony ID,Site_Type,Keystone_ID,Prosoma (mm),Mass (g),Keystone Boldness,Avg Attackers,Survived,Young,Prey Carcasses,Ant Attack,Ant Binary,Fungus Infection,Fungus Binary
Boegoeberg,BOE1_5,Arid,68,1.39,0.012,429,5.333333333,0,0,4,No,0,No,0
Boegoeberg,BOE3_16,Arid,719XY,1.44,0.013,370,4.333333333,0,0,7,No,0,No,0
Boegoeberg,BOE1_1,Arid,248X,1.39,0.013,365,2.666666667,0,0,5,No,0,No,0
Boegoeberg,BOE2_12,Arid,664XY,1.71,0.02,276,2.333333333,0,0,2,No,0,No,0
Boegoeberg,BOE2_6,Arid,44,1.3,0.006,116,2.333333,0,0,2,No,0,No,0
Boegoeberg,BOE2_11,Arid,151Q,1.2,0.019,456,5.666666667,0,0,0,Yes,1,No,0
Boegoeberg,BOE4_21,Arid,971XY,1.09,0.014,440,5.666666667,0,0,0,Yes,1,No,0
Boegoeberg,BOE4_22,Arid,92C,1.58,0.015,352,3.666666667,0,0,0,Yes,1,No,0
Boegoeberg,BOE4_23,Arid,72X,1.37,0.011,322,3.666666667,0,0,0,Yes,1,No,0
Boegoeberg,BOE2_8,Arid,444XY,1.61,0.019,301,2.666666667,0,0,0,Yes,1,No,0
Boegoeberg,BOE4_18,Arid,301XY,1.17,0.009,148,2,0,0,0,Yes,1,No,0
Boegoeberg,BOE3_14,Arid,31C,1.08,0.006,584,4,1,0,2,No,0,No,0
Boegoeberg,BOE2_9,Arid,320XY,1.2,0.009,554,7,1,1,7,No,0,No,0
Boegoeberg,BOE1_3,Arid,188X,1.54,0.012,453,7,1,0,2,No,0,No,0
Boegoeberg,BOE2_7,Arid,383XX,1.96,0.02,449,8,1,1,7,No,0,No,0
Boegoeberg,BOE1_4,Arid,93Q,1.56,0.007,383,7.333333333,1,0,8,No,0,No,0
Boegoeberg,BOE2_10,Arid,782XY,1.63,0.014,379,6.666666667,1,1,7,No,0,No,0
Boegoeberg,BOE5_25,Arid,106X,1.37,0.007,379,6.666667,1,0,4,No,0,No,0
Boegoeberg,BOE5_26,Arid,447XX,0.95,0.004,373,6,1,0,4,No,0,No,0
Boegoeberg,BOE2_13,Arid,710XX,1.86,0.016,318,4.666666667,1,0,3,No,0,No,0
Boegoeberg,BOE5_24,Arid,337XY,1.13,0.009,301,6,1,0,8,No,0,No,0
Boegoeberg,BOE6_27,Arid,253X,1.47,0.012,162,4.666666667,1,0,2,No,0,No,0
Boegoeberg,BOE4_20,Arid,880XY,1.17,0.012,155,1.666666667,1,0,2,No,0,No,0
Boegoeberg,BOE6_28,Arid,40B,1.57,0.01,419,8,1,0,0,Yes,1,No,0
Boegoeberg,BOE1_2,Arid,80P,1.44,0.009,330,4.666666667,1,0,0,Yes,1,No,0
Boegoeberg,BOE3_15,Arid,586XY,1.31,0.008,278,5.333333333,1,1,0,Yes,1,No,0
Boegoeberg,BOE4_19,Arid,24P,1.21,0.006,275,3.666666667,1,0,0,Yes,1,No,0
Boegoeberg,BOE4_17,Arid,126XY,1.35,0.007,232,4.666666667,1,0,1,Yes,1,No,0
Kalkrand,KALK2_15,Arid,629XY,1.36,0.011,411,2,0,0,6,No,0,No,0
Kalkrand,KALK1_6,Arid,824XY,1.65,0.027,338,3.333333333,0,0,2,No,0,No,0
Kalkrand,KALK1_4,Arid,737XY,1.43,0.013,334,2.333333333,0,0,2,No,0,No,0
Kalkrand,KALK2_14,Arid,1001XY,1.12,0.009,139,2.333333333,0,0,8,No,0,No,0
Kalkrand,KALK3_21,Arid,63,0.99,0.008,435,1.666666667,0,0,0,Yes,1,No,0
Kalkrand,KALK3_18,Arid,973XY,0.97,0.008,398,2,0,0,0,Yes,1,No,0
Kalkrand,KALK2_16,Arid,402XY,1.53,0.011,390,3.333333333,0,0,0,Yes,1,No,0
Kalkrand,KALK5_26,Arid,675XY,1.11,0.009,302,2.333333333,0,0,0,Yes,1,No,0
Kalkrand,KALK1_8,Arid,511XY,0.88,0.005,277,1.333333333,0,0,0,Yes,1,No,0
Kalkrand,KALK5_28,Arid,130C,1.25,0.008,268,2.666666667,0,0,0,Yes,1,No,0
Kalkrand,KALK3_19,Arid,172Q,1.42,0.011,201,2,0,0,0,Yes,1,No,0
Kalkrand,KALK4_24,Arid,226X,1.23,0.008,113,3.666666667,0,0,0,Yes,1,No,0
Kalkrand,KALK1_7,Arid,96C,1.37,0.012,509,7,1,0,3,No,0,No,0
Kalkrand,KALK1_2,Arid,664XY,0.96,0.008,505,8,1,0,5,No,0,No,0
Kalkrand,KALK1_1,Arid,11X,1.38,0.014,503,4.666666667,1,1,6,No,0,No,0
Kalkrand,KALK2_13,Arid,650XY,1.33,0.007,499,5.33,1,0,4,No,0,No,0
Kalkrand,KALK6_30,Arid,242X,1.08,0.005,478,5.333333333,1,0,8,No,0,No,0
Kalkrand,KALK4_23,Arid,637XY,1.1,0.005,454,3.333333333,1,0,7,No,0,No,0
Kalkrand,KALK1_3,Arid,62Q,0.94,0.005,410,5,1,0,6,No,0,No,0
Kalkrand,KALK6_29,Arid,631XY,0.96,0.007,410,5,1,1,5,No,0,No,0
Kalkrand,KALK3_20,Arid,376XY,0.98,0.005,360,3,1,0,3,No,0,No,0
Kalkrand,KALK2_12,Arid,488XX,1.05,0.011,290,4,1,1,7,No,0,No,0
Kalkrand,KALK5_25,Arid,795XY,0.91,0.004,219,4.333333333,1,0,7,No,0,No,0
Kalkrand,KALK3_17,Arid,585XY,0.89,0.005,1,4,1,0,5,No,0,No,0
Kalkrand,KALK1_5,Arid,142Q,1.07,0.005,507,6.666666667,1,0,0,Yes,1,No,0
Kalkrand,KALK2_11,Arid,130Q,1.13,0.007,295,4.666666667,1,0,0,Yes,1,No,0
Ladysmith,LADY3_23,Wet,92X,2.59,0.071,525,2,0,0,14,No,0,No,0
Ladysmith,LADY2_13,Wet,263XY,1.93,0.065,522,3,0,0,4,No,0,No,0
Ladysmith,LADY1_3,Wet,1Q,2.84,0.177,509,1.333333333,0,0,10,No,0,No,0
Ladysmith,LADY1_2,Wet,99X,2.86,0.087,506,0.666666667,0,0,10,No,0,No,0
Ladysmith,LADY1_1,Wet,798XY,3,0.107,332,1,0,0,13,No,0,No,0
Ladysmith,LADY2_17,Wet,122Q,3.59,0.097,330,2,0,0,9,No,0,No,0
Ladysmith,LADY3_19,Wet,58,1.95,0.051,238,1.333333333,0,0,10,No,0,No,0
Ladysmith,LADY2_10,Wet,479XY,3.12,0.078,201,2.333333333,0,0,10,No,0,No,0
Ladysmith,LADY1_7,Wet,808XY,3.07,0.088,126,2,0,0,13,No,0,No,0
Ladysmith,LADY3_24,Wet,624XY,2.11,0.055,55,1.333333333,0,0,4,No,0,No,0
Ladysmith,LADY3_20,Wet,345XY,2.83,0.081,464,2,0,0,0,Yes,1,No,0
Ladysmith,LADY2_11,Wet,24Q,2.32,0.057,398,1.333333333,0,0,0,Yes,1,No,0
Ladysmith,LADY2_14,Wet,188XY,2.72,0.076,356,2.333333333,0,0,0,Yes,1,No,0
Ladysmith,LADY3_21,Wet,168XX,2.06,0.054,100,2.333333333,0,0,0,Yes,1,No,0
Ladysmith,LADY1_8,Wet,124Q,3.24,0.103,561,0.666666667,1,0,12,No,0,No,0
Ladysmith,LADY2_18,Wet,AA3,3.01,0.081,529,2.666666667,1,0,12,No,0,No,0
Ladysmith,LADY1_9,Wet,6Z,3.35,0.089,510,1.666666667,1,1,13,No,0,No,0
Ladysmith,LADY4_30,Wet,656XY,2.82,0.115,507,1.333333333,1,0,14,No,0,No,0
Ladysmith,LADY3_27,Wet,485XX,2.11,0.042,388,2,1,0,7,No,0,No,0
Ladysmith,LADY4_31,Wet,560XX,2.87,0.101,357,2.333333333,1,1,6,No,0,No,0
Ladysmith,LADY1_6,Wet,102X,2.88,0.117,308,0.333333333,1,0,9,No,0,No,0
Ladysmith,LADY4_32,Wet,633XY,2.74,0.082,245,3,1,0,12,No,0,No,0
Ladysmith,LADY3_25,Wet,42X,2.01,0.032,120,1.666666667,1,0,5,No,0,No,0
Ladysmith,LADY2_16,Wet,430XY,1.65,0.053,90,2,1,1,15,No,0,No,0
Ladysmith,LADY2_15,Wet,259X,2.81,0.073,18,2,1,1,10,No,0,No,0
Ladysmith,LADY1_4,Wet,493XY,3.06,0.085,243,1,1,0,0,Yes,1,No,0
Outjo,OUT2_18,Wet,124XY,1.02,0.013,464,2.333333333,0,0,15,No,0,No,0
Outjo,OUT2_14,Wet,43P,1.03,0.011,403,1.333333333,0,0,5,No,0,No,0
Outjo,OUT1_10,Wet,794XY,1.61,0.014,374,3.333333333,0,0,15,No,0,No,0
Outjo,OUT1_5,Wet,21A,1.47,0.008,355,2.666666667,0,0,7,No,0,No,0
Outjo,OUT1_1,Wet,16XX,1.44,0.016,341,3.666666667,0,0,11,No,0,No,0
Outjo,OUT4_28,Wet,720XY,1.5,0.006,292,2.333333333,0,0,6,No,0,No,0
Outjo,OUT3_24,Wet,69P,0.59,0.006,87,2,0,0,11,No,0,No,0
Outjo,OUT2_20,Wet,32C,1.1,0.015,445,1.333333333,0,0,0,Yes,1,No,0
Outjo,OUT5_29,Wet,532XX,1.12,0.011,2,0.666666667,0,0,0,Yes,1,No,0
Outjo,OUT1_3,Wet,835XX,1.63,0.021,555,1.666666667,1,0,11,No,0,No,0
Outjo,OUT3_25,Wet,AAA11,1.5,0.021,513,2.666666667,1,0,9,No,0,No,0
Outjo,OUT2_13,Wet,67X,0.96,0.008,460,1.666666667,1,0,7,No,0,No,0
Outjo,OUT6_31,Wet,783XY,1.21,0.006,372,1.666666667,1,0,8,No,0,No,0
Outjo,OUT5_30,Wet,609XY,1.21,0.006,326,1.333333333,1,1,5,No,0,No,0
Outjo,OUT6_32,Wet,563XY,1.05,0.006,313,2,1,0,14,No,0,No,0
Outjo,OUT1_2,Wet,364XX,1.67,0.036,285,2.666666667,1,1,10,No,0,No,0
Outjo,OUT4_27,Wet,14,1.38,0.014,223,1.333333333,1,0,13,No,0,No,0
Outjo,OUT1_12,Wet,96XX,1.35,0.024,184,2.333333333,1,0,9,No,0,No,0
Outjo,OUT1_6,Wet,56XX,1.42,0.015,134,2.333333333,1,0,11,No,0,No,0
Outjo,OUT1_9,Wet,528XX,1.8,0.039,62,2,1,0,8,No,0,No,0
Outjo,OUT3_21,Wet,52Q,0.84,0.007,555,2,1,0,0,Yes,1,No,0
Outjo,OUT2_16,Wet,109P,1.44,0.026,461,3.333333333,1,0,0,Yes,1,No,0
Outjo,OUT2_15,Wet,22P,1.3,0.012,58,3.666666667,1,0,0,Yes,1,No,0
Rehoboth,REHO1_8,Arid,524XY,0.87,0.012,510,3,0,0,5,No,0,No,0
Rehoboth,REHO5_27,Arid,100Q,1.16,0.02,476,1.333333333,0,0,7,No,0,No,0
Rehoboth,REHO1_4,Arid,850XY,0.99,0.005,349,1,0,0,5,No,0,No,0
Rehoboth,REHO3_22,Arid,22Q,0.7,0.008,250,1.333333333,0,0,3,No,0,No,0
Rehoboth,REHO4_24,Arid,44,0.69,0.008,117,1,0,0,2,No,0,No,0
Rehoboth,REHO5_28,Arid,16B,0.91,0.009,436,3,0,1,0,Yes,1,No,0
Rehoboth,REHO1_9,Arid,773XY,0.8,0.003,416,3,0,0,0,Yes,1,No,0
Rehoboth,REHO2_18,Arid,49B,1.18,0.01,398,2,0,0,0,Yes,1,No,0
Rehoboth,REHO1_6,Arid,930XY,0.77,0.002,280,2.666666667,0,0,0,Yes,1,No,0
Rehoboth,REHO1_5,Arid,864XY,1.09,0.009,275,2,0,0,0,Yes,1,No,0
Rehoboth,REHO4_26,Arid,895XY,0.71,0.008,226,2.666666667,0,0,0,Yes,1,No,0
Rehoboth,REHO2_17,Arid,714XY,1.55,0.012,162,1.333333333,0,0,0,Yes,1,No,0
Rehoboth,REHO3_21,Arid,708XY,0.92,0.005,564,8,1,0,5,No,0,No,0
Rehoboth,REHO3_20,Arid,60P,1.14,0.008,541,8,1,1,6,No,0,No,0
Rehoboth,REHO1_3,Arid,29Q,0.82,0.003,528,7,1,1,1,No,0,No,0
Rehoboth,REHO2_15,Arid,246X,1.39,0.011,507,5.333333333,1,0,6,No,0,No,0
Rehoboth,REHO4_25,Arid,80P,1.25,0.01,505,3.333333333,1,0,4,No,0,No,0
Rehoboth,REHO3_23,Arid,602XY,1.1,0.008,467,3.333333333,1,0,8,No,0,No,0
Rehoboth,REHO6_29,Arid,3,1.37,0.013,459,4.666666667,1,0,4,No,0,No,0
Rehoboth,REHO2_13,Arid,4XY,1.21,0.012,457,2.666666667,1,0,3,No,0,No,0
Rehoboth,REHO1_1,Arid,402XY,0.89,0.007,445,3.333333333,1,0,8,No,0,No,0
Rehoboth,REHO2_16,Arid,290XY,1.22,0.009,374,4,1,0,2,No,0,No,0
Rehoboth,REHO2_14,Arid,9X,1.09,0.008,353,3.666666667,1,0,1,No,0,No,0
Rehoboth,REHO1_10,Arid,650XY,1.26,0.008,178,3.333333333,1,0,8,No,0,No,0
Rehoboth,REHO2_12,Arid,735XY,1.19,0.01,11,2.333333333,1,0,6,No,0,No,0
Rehoboth,REHO1_7,Arid,201XY,0.99,0.007,496,5.333333333,1,1,0,Yes,1,No,0
Rehoboth,REHO3_19,Arid,36X,0.82,0.008,335,3,1,0,0,Yes,1,No,0
Rundu,RUN2_7,Wet,72P,1.42,0.026,554,1,0,0,9,No,0,No,0
Rundu,RUN5_18,Wet,886XY,2.65,0.073,530,2.666666667,0,0,6,No,0,No,0
Rundu,RUN3_9,Wet,65P,1.85,0.031,519,2,0,0,5,No,0,No,0
Rundu,RUN6_27,Wet,260XY,2.66,0.095,501,2,0,0,13,No,0,No,0
Rundu,RUN5_24,Wet,31B,2.4,0.088,375,5.666666667,0,0,14,No,0,No,0
Rundu,RUN8_31,Wet,182XY,1.42,0.073,270,3.666666667,0,0,7,No,0,No,0
Rundu,RUN3_10,Wet,152Q,1.52,0.017,242,1.666666667,0,0,4,No,0,No,0
Rundu,RUN5_25,Wet,452XY,3.12,0.078,173,4.666666667,0,0,15,No,0,No,0
Rundu,RUN1_6,Wet,342XY,1.97,0.051,162,4.333333333,0,0,6,No,0,No,0
Rundu,RUN1_3,Wet,961XY,1.59,0.072,27,4,0,0,13,No,0,No,0
Rundu,RUN1_4,Wet,692XY,2.23,0.056,527,4,0,0,0,Yes,1,No,0
Rundu,RUN4_14,Wet,139XX,1.15,0.036,519,6,0,0,0,Yes,1,No,0
Rundu,RUN5_19,Wet,933XY,2.96,0.073,2,2.666666667,0,0,0,Yes,1,No,0
Rundu,RUN4_12,Wet,706XX,1.9,0.033,583,5,1,1,8,No,0,No,0
Rundu,RUN5_23,Wet,1004XY,2.1,0.062,500,3,1,0,10,No,0,No,0
Rundu,RUN1_5,Wet,31XY,1.49,0.026,447,2.333333333,1,0,11,No,0,No,0
Rundu,RUN4_13,Wet,16A,2.06,0.036,444,6,1,0,10,No,0,No,0
Rundu,RUN7_28,Wet,686XX,1.58,0.049,441,6.333333333,1,0,13,No,0,No,0
Rundu,RUN4_17,Wet,186XX,1.76,0.035,430,3.666666667,1,0,9,No,0,No,0
Rundu,RUN4_15,Wet,828XX,1.52,0.024,414,4,1,0,13,No,0,No,0
Rundu,RUN5_20,Wet,86Q,2.22,0.079,350,3,1,1,12,No,0,No,0
Rundu,RUN5_26,Wet,91C,1.9,0.075,295,3.333333333,1,1,6,No,0,No,0
Rundu,RUN1_1,Wet,929XY,1.89,0.038,218,6.333333333,1,0,7,No,0,No,0
Rundu,RUN5_22,Wet,990XY,2.28,0.081,146,4.333333333,1,0,12,No,0,No,0
Rundu,RUN7_29,Wet,562XX,1.43,0.042,126,2.666666667,1,0,11,No,0,No,0
Rundu,RUN4_11,Wet,25XX,1.76,0.026,414,5.333333333,1,0,0,Yes,1,No,0
Upington,UPP4_20,Arid,225XY,1.2,0.011,402,2.333333333,0,0,3,No,0,No,0
Upington,UPP5_26,Arid,414XY,1.17,0.007,379,1.666666667,0,0,4,No,0,No,0
Upington,UPP5_24,Arid,181XY,1.12,0.004,251,2.666666667,0,0,7,No,0,No,0
Upington,UPP1_4,Arid,801XY,1.1,0.004,248,3,0,0,4,No,0,No,0
Upington,UPP3_15,Arid,465XY,1.09,0.01,136,1.666666667,0,0,2,No,0,No,0
Upington,UPP2_7,Arid,345XY,1.36,0.011,125,2.333333333,0,0,6,No,0,No,0
Upington,UPP2_11,Arid,392XY,1.32,0.01,419,1.666666667,0,0,0,Yes,1,No,0
Upington,UPP2_5,Arid,916XY,1.05,0.007,412,1.666666667,0,0,0,Yes,1,No,0
Upington,UPP3_17,Arid,464XX,1.28,0.006,379,2,0,0,0,Yes,1,No,0
Upington,UPP3_19,Arid,60XX,1.12,0.009,341,1.666666667,0,0,0,Yes,1,No,0
Upington,UPP5_25,Arid,52P,1.16,0.007,340,1.666666667,0,0,0,Yes,1,No,0
Upington,UPP2_6,Arid,2XX,1.3,0.009,279,2,0,0,0,Yes,1,No,0
Upington,UPP3_13,Arid,472XX,1.1,0.004,222,2.333333333,0,0,0,Yes,1,No,0
Upington,UPP5_28,Arid,314XY,0.8,0.006,194,1.666666667,0,0,0,Yes,1,No,0
Upington,UPP4_21,Arid,865XY,1.27,0.006,148,1.666666667,0,0,0,Yes,1,No,0
Upington,UPP2_12,Arid,59,1.34,0.007,558,7.666666667,1,1,5,No,0,No,0
Upington,UPP2_9,Arid,902XY,1.42,0.015,479,5,1,0,2,No,0,No,0
Upington,UPP3_16,Arid,318XX,1.17,0.007,478,5.666666667,1,0,3,No,0,No,0
Upington,UPP1_2,Arid,88C,1.54,0.01,442,4.666666667,1,1,7,No,0,No,0
Upington,UPP6_29,Arid,31C,0.71,0.008,400,4,1,0,11,No,0,No,0
Upington,UPP3_18,Arid,538XX,1.44,0.01,321,4,1,0,7,No,0,No,0
Upington,UPP4_22,Arid,506XY,1.23,0.014,297,1.333333333,1,0,5,No,0,No,0
Upington,UPP2_8,Arid,423XY,1.19,0.006,292,2.333333333,1,0,0,No,0,No,0
Upington,UPP3_14,Arid,859XY,0.98,0.009,285,2.666666667,1,0,7,No,0,No,0
Upington,UPP1_3,Arid,84P,1.16,0.009,507,5,1,0,0,Yes,1,No,0
Upington,UPP6_30,Arid,401XY,1.25,0.008,483,8,1,1,0,Yes,1,No,0
Upington,UPP5_23,Arid,710XY,1.17,0.006,480,2.666666667,1,1,0,Yes,1,No,0
Upington,UPP1_1,Arid,766XX,1.15,0.007,416,4.666666667,1,1,1,Yes,1,No,0
Upington,UPP2_10,Arid,935XY,1.06,0.004,392,4,1,0,0,Yes,1,No,0
Upington,UPP5_27,Arid,597XY,1.05,0.012,98,3.333333333,1,0,0,Yes,1,No,0
Weenan,GREY3_27,Wet,50Q,2.75,0.084,450,2,0,0,4,No,0,No,0
Weenan,GREY1_8,Wet,22XY,2.6,0.141,367,1.666666667,0,0,15,No,0,No,0
Weenan,GREY1_4,Wet,44C,2.53,0.08,363,1.666666667,0,0,11,No,0,No,0
Weenan,GREY2_21,Wet,923XY,2.47,0.065,185,2.666666667,0,0,9,No,0,No,0
Weenan,GREY1_3,Wet,417XY,2.95,0.13,111,1.666666667,0,0,9,No,0,No,0
Weenan,GREY1_10,Wet,101X,2.56,0.133,63,1.666666667,0,0,13,No,0,No,0
Weenan,GREY3_22,Wet,100Q,2.5,0.07,551,2.666666667,0,0,0,Yes,1,No,0
Weenan,GREY2_19,Wet,167X,2.41,0.067,434,3.666666667,0,0,0,Yes,1,No,0
Weenan,GREY3_26,Wet,AAA6,1.8,0.013,279,3,0,0,0,Yes,1,No,0
Weenan,GREY3_24,Wet,60P,3.04,0.082,193,2.666666667,0,0,0,Yes,1,No,0
Weenan,GREY2_16,Wet,10A,2.12,0.037,166,2,0,0,0,Yes,1,No,0
Weenan,GREY1_11,Wet,238XY,1.95,0.079,143,2,0,0,0,Yes,1,No,0
Weenan,GREY2_18,Wet,782XY,2.39,0.059,538,1.666666667,1,1,13,No,0,No,0
Weenan,GREY1_7,Wet,271XY,2.59,0.056,450,3,1,0,6,No,0,No,0
Weenan,GREY2_13,Wet,674XY,2.75,0.058,363,3,1,0,5,No,0,No,0
Weenan,GREY1_5,Wet,225X,2.75,0.117,329,1.333333333,1,0,11,No,0,No,0
Weenan,GREY2_14,Wet,499XY,1.99,0.033,274,2.666666667,1,1,13,No,0,No,0
Weenan,GREY1_2,Wet,752XY,2.72,0.079,235,1,1,0,10,No,0,No,0
Weenan,GREY3_29,Wet,223XY,2.23,0.054,203,2.666666667,1,1,15,No,0,No,0
Weenan,GREY3_28,Wet,371XX,2.12,0.074,199,,1,1,12,No,0,No,0
Weenan,GREY3_31,Wet,884XY,2.86,0.08,150,1.666666667,1,1,9,No,0,No,0
Weenan,GREY1_1,Wet,92Q,2.48,0.086,14,1,1,0,8,No,0,No,0
Weenan,GREY3_23,Wet,31X,3.02,0.079,12,2,1,0,7,No,0,No,0
Weenan,GREY1_9,Wet,PEEPEE3,2.68,0.085,372,1.333333333,1,1,0,Yes,1,No,0
Weenan,GREY2_15,Wet,369XX,2.05,0.038,336,4.333333333,1,0,0,Yes,1,No,0
Kalkrand,KALK1_10,Arid,493XY,1.13,0.011,157,2,0,0,8,No,0,Yes,1
Kalkrand,KALK4_22,Arid,122Q,1.34,0.005,577,5.333333333,1,1,8,No,0,Yes,1
Kalkrand,KALK5_27,Arid,513XY,1.04,0.004,408,5,1,0,7,No,0,Yes,1
Kalkrand,KALK1_9,Arid,41C,1.69,0.015,385,2,1,0,8,No,0,Yes,1
Ladysmith,LADY4_29,Wet,13C,2.06,0.054,497,2.333333333,0,0,8,No,0,Yes,1
Ladysmith,LADY1_5,Wet,470XY,2.97,0.099,481,1.666666667,0,0,10,No,0,Yes,1
Ladysmith,LADY3_26,Wet,13A,1.72,0.056,420,2.666666667,0,0,8,No,0,Yes,1
Ladysmith,LADY3_22,Wet,407XX,1.75,0.021,317,1,0,0,15,No,0,Yes,1
Ladysmith,LADY2_12,Wet,522XY,3.2,0.07,273,2.666666667,0,0,9,No,0,Yes,1
Ladysmith,LADY3_28,Wet,13Q,2.02,0.036,485,2,1,1,15,No,0,Yes,1
Outjo,OUT4_26,Wet,209X,1.19,0.01,551,2.333333333,0,0,14,No,0,Yes,1
Outjo,OUT1_8,Wet,399XX,1.5,0.016,534,1.333333333,0,0,12,No,0,Yes,1
Outjo,OUT2_17,Wet,91X,0.95,0.015,479,1.333333333,0,0,9,No,0,Yes,1
Outjo,OUT2_19,Wet,1012XY,0.93,0.008,436,2.333333333,0,0,10,No,0,Yes,1
Outjo,OUT1_7,Wet,106XY,1.42,0.021,279,1.333333333,0,0,9,No,0,Yes,1
Outjo,OUT1_11,Wet,99XX,1.77,0.015,261,3.333333333,0,0,10,No,0,Yes,1
Outjo,OUT1_4,Wet,790XX,1.66,0.023,142,0.666666667,0,0,12,No,0,Yes,1
Outjo,OUT3_23,Wet,690XY,1.42,0.008,577,2,1,0,14,No,0,Yes,1
Rehoboth,REHO1_11,Arid,179Q,1.04,0.006,529,1.333333333,0,0,7,No,0,Yes,1
Rundu,RUN8_30,Wet,51,2.09,0.077,587,1.333333333,0,0,11,No,0,Yes,1
Rundu,RUN1_2,Wet,484XY,2.18,0.03,457,4.666666667,0,0,11,No,0,Yes,1
Rundu,RUN2_8,Wet,432XY,1.2,0.023,444,1,0,0,7,No,0,Yes,1
Rundu,RUN4_16,Wet,31XX,2.1,0.032,281,3,0,0,13,No,0,Yes,1
Rundu,RUN5_21,Wet,217X,2.3,0.083,180,3,1,0,13,No,0,Yes,1
Weenan,GREY3_31,Wet,177XX,2.96,0.082,402,1.333333333,0,0,22,No,0,Yes,1
Weenan,GREY1_6,Wet,122P,2.74,0.146,336,1.333333333,0,0,15,No,0,Yes,1
Weenan,GREY3_25,Wet,61XY,2.19,0.066,308,3.666666667,0,0,15,No,0,Yes,1
Weenan,GREY2_20,Wet,83X,2.15,0.058,264,2,0,0,7,No,0,Yes,1
Weenan,GREY2_17,Wet,82,2.16,0.059,258,2.333333333,0,0,8,No,0,Yes,1
Weenan,GREY3_30,Wet,341XY,3.08,0.075,241,2.666666667,0,0,12,No,0,Yes,1
Weenan,GREY2_12,Wet,785XY,2.21,0.04,223,3.666666667,0,0,11,No,0,Yes,1
